"Day" "Month" "median_temp" "min_temp" "max_temp" "prec" "weekend" "consumption"
1 1 27.3 23.9 32.5 0 0 25.461
2 1 27.02 24.5 33.5 0 0 28.972
3 1 24.82 22.4 29.9 0 1 30.814
4 1 23.98 21.5 28.6 1.2 1 29.799
5 1 23.82 21 28.3 0 0 28.9
6 1 23.78 20.1 30.5 12.2 0 28.218
7 1 24 19.5 33.7 0 0 29.732
8 1 24.9 19.5 32.8 48.6 0 28.397
9 1 28.2 21.9 34 4.4 0 24.886
10 1 26.76 22.1 34.2 0 1 37.937
11 1 27.62 22.2 34.8 3.4 1 36.254
12 1 25.96 21.4 35.4 0 0 25.743
13 1 25.52 21.2 34.8 0.8 0 26.99
14 1 25.96 21.3 34 1.6 0 31.825
15 1 25.86 21.5 32.8 3 0 25.724
16 1 26.5 22.3 32.7 2 0 29.938
17 1 28.86 22 35.8 0 1 37.69
18 1 28.26 23.4 35.6 0 1 30.524
19 1 28.22 22.7 36.5 3.7 0 29.265
20 1 27.68 23.3 35.6 0.6 0 35.127
21 1 25.32 22.7 30.9 0 0 29.13
22 1 21.74 19.2 26.1 31 0 25.795
23 1 21.04 18.5 26.1 3.6 0 21.784
24 1 23.12 19 29.4 13 1 28.348
25 1 24.4 18.1 30 0 1 31.088
26 1 22.4 18.9 28.7 20.8 0 21.52
27 1 23.6 20.5 28.7 1.2 0 29.972
28 1 25.68 20.1 29.9 4.9 0 22.603
29 1 25 21.5 29.2 0 0 22.696
30 1 22.8 20.9 26.9 0 0 26.845
31 1 21.64 18.5 24.3 0.2 1 27.03
1 2 24.16 20.6 28 0 1 32.057
2 2 22.48 20.7 26.5 4.5 0 24.097
3 2 23.16 18 31.1 1.6 0 31.655
4 2 22.12 19.9 23.7 3.2 0 24.738
5 2 20.28 19.1 22.9 5.6 0 19.95
6 2 21.06 17.9 25.4 18.4 0 22.821
7 2 21.86 17.3 28.7 16.7 1 28.893
8 2 22.76 17.1 29.5 10.4 1 29.926
9 2 24 19.3 30.7 0 0 24.062
10 2 23.92 20.1 29 32.2 0 21.137
11 2 25.38 19.9 30.4 2.2 0 26.805
12 2 27.66 23.1 32.7 0 0 26.389
13 2 25.54 22.5 32.1 0 0 24.219
14 2 24.32 21.1 31.6 0 1 30.231
15 2 22.9 20 27.6 17.4 1 24.968
16 2 21.6 18.8 27.3 22.7 0 25.343
17 2 22.76 19.7 28 85.3 0 17.399
18 2 22.22 19.9 26.4 13.4 0 21.392
19 2 23.92 19.9 28.5 2.4 0 22.922
20 2 24.72 21.7 28.2 0 0 24.567
21 2 25.2 21.4 31.1 0 1 30.943
22 2 24.44 20.4 30.8 0 1 30.825
23 2 25.4 20.7 31.4 0 0 25.692
24 2 24.3 20.5 31.9 0 0 26.959
25 2 22.24 19.3 29.3 2 0 25.366
26 2 24.1 19.2 30.3 34.4 0 22.784
27 2 24.64 20.4 31.4 0.6 0 26.241
28 2 22.4 19.7 27.7 0 1 26.467
1 3 21.26 18.2 26.3 3 1 27.475
2 3 22.16 17.2 29.2 0 0 28.749
3 3 23.16 19.5 29.5 0 0 24.146
4 3 23.68 18.9 30.5 0 0 22.988
5 3 24.42 19.7 31.6 0 0 30.3
6 3 22.6 19.4 28.5 0 0 22.654
7 3 21.92 19.4 26.6 38.2 1 29.09
8 3 22.2 19.7 24.4 69.2 1 24.619
9 3 21.36 19.7 23.3 77 0 20.016
10 3 23.12 21.2 26.9 9.7 0 23.042
11 3 22.88 20.1 28.1 9.5 0 22.933
12 3 22.26 19.2 26.9 1.2 0 22.409
13 3 22.34 20 26.6 0 0 21.281
14 3 22.88 19.9 27.9 12.2 1 28.844
15 3 22.08 19.1 26.8 0.3 1 32.872
16 3 21.92 18.6 29.4 22.4 0 20.903
17 3 21.92 18.6 25.6 24.2 0 26.275
18 3 21.24 19.7 24.1 0 0 20.167
19 3 21.78 19.2 27.1 3.2 0 23.628
20 3 21.64 18.9 28.2 7.4 0 24.213
21 3 20.88 18.5 25.3 14.7 1 28.631
22 3 19.7 18.1 22.8 1.7 1 25.855
23 3 19.88 17.1 23.3 19.2 0 21.406
24 3 20.98 17.4 26.3 0 0 21.617
25 3 21.56 17.1 27.9 0 0 22.401
26 3 22.98 18.3 29.8 0 0 27.989
27 3 23.32 18 30.8 0 0 24.974
28 3 23.28 19.1 29.5 0 1 29.76
29 3 22.14 20.5 26.6 0 1 26.116
30 3 22.5 19 25.9 18.6 0 25.85
31 3 23.14 20.1 29 1 0 24.925
1 4 22.52 19.2 27.5 0 0 21.979
2 4 20.92 18.2 26.2 0 0 22.116
3 4 21.02 16.3 27.2 0 0 24.867
4 4 22.36 17.9 29.4 0 1 33.45
5 4 22.82 20.1 26.4 0 1 32.713
6 4 21.36 18.5 27.7 0 0 22.356
7 4 17.38 16.1 20 7.1 0 21.004
8 4 18.68 14.7 24.3 0.4 0 23.362
9 4 19.4 15.9 25.6 0 0 20.298
10 4 20.46 17 25.5 0 0 24.862
