"max_gr_temp" "min_gr_temp" "ind_avg_gr_temp" "max_air_temp" "min_air_temp" "ind_avg_air_temp" "quan_ev_water"
84 65 147 85 59 151 30
84 65 149 86 61 159 34
79 66 142 83 64 152 33
81 67 147 83 65 158 26
84 68 167 88 69 180 41
74 66 131 77 67 147 4
73 66 131 78 69 159 5
93 67 134 84 68 159 20
84 68 161 89 71 195 31
86 72 169 91 76 206 38
88 73 178 91 76 208 43
90 74 187 94 76 211 47
88 72 171 94 75 211 45
88 72 171 92 70 201 45
81 69 154 87 68 167 11
79 68 149 83 68 162 10
84 69 160 87 66 173 30
84 70 160 87 68 177 29
84 70 168 88 70 169 23
77 67 147 83 66 170 16
87 67 166 92 67 196 37
89 69 171 92 72 199 50
89 72 180 94 72 204 36
93 72 186 92 73 201 54
93 74 188 93 72 206 44
