"tank_temp" "petroleum_temp" "tank_pressure" "petroleum_pressure" "hydrocarbons"
33 53 3.32 3.42 841
31 36 3.1 3.26 576
33 51 3.18 3.18 676
37 51 3.39 3.08 484
36 54 3.2 3.41 729
35 35 3.03 3.03 441
59 56 4.78 4.57 1089
60 60 4.72 4.72 1156
59 60 4.6 4.41 1024
60 60 4.53 4.53 1156
34 35 2.9 2.95 400
60 59 4.4 4.36 1296
60 62 4.31 4.42 1156
60 36 4.27 3.94 529
62 38 4.41 3.49 576
62 61 4.39 4.39 1024
90 64 7.32 6.7 1600
90 60 7.32 7.2 2116
92 92 7.45 7.45 3025
91 92 7.27 7.26 2704
61 62 3.91 4.08 841
59 42 3.75 3.45 484
88 65 6.48 5.8 961
91 89 6.7 6.6 2025
63 62 4.3 4.3 1369
60 61 4.02 4.1 1369
60 62 4.02 3.89 1089
59 62 3.98 4.02 729
59 62 4.39 4.53 1156
37 35 2.75 2.64 361
35 35 2.59 2.59 256
37 37 2.73 2.59 484
