"V1" "V2" "V3" "V4" "V5" "V6" "V7" "Y"
51 30 39 61 92 45 46 43
64 51 54 63 73 47 48 63
70 68 69 76 86 48 47 71
63 45 47 54 84 35 34 61
78 56 66 71 83 47 46 81
55 49 44 54 49 34 33 43
67 42 56 66 68 35 35 58
75 50 55 70 66 41 40 71
82 72 67 71 83 31 31 72
61 45 47 62 80 41 40 67
53 53 58 58 67 34 33 64
60 47 39 59 74 41 43 67
62 57 42 55 63 25 24 69
83 83 45 59 77 35 36 68
77 54 72 79 77 46 48 77
90 50 72 60 54 36 37 81
85 64 69 79 79 63 62 74
60 65 75 55 80 60 60 65
70 46 57 75 85 46 47 65
58 68 54 64 78 52 54 50
40 33 34 43 64 33 32 50
61 52 62 66 80 41 41 64
66 52 50 63 80 37 36 53
37 42 58 50 57 49 49 40
54 42 48 66 75 33 34 63
77 66 63 88 76 72 72 66
75 58 74 80 78 49 49 78
57 44 45 51 83 38 39 48
85 71 71 77 74 55 55 85
82 39 59 64 78 39 39 82
