"area" "perimeter" "length" "width" "asymmetry" "Class"
15.26 14.84 5.763 3.312 2.221 0
17.63 15.98 6.191 3.561 4.076 1
14.88 14.57 5.554 3.333 1.018 0
16.84 15.67 5.998 3.484 4.675 1
14.29 14.09 5.291 3.337 2.699 0
17.26 15.73 5.978 3.594 4.539 1
13.84 13.94 5.324 3.379 2.259 0
19.11 16.26 6.154 3.93 2.936 1
16.14 14.99 5.658 3.562 1.355 0
16.82 15.51 6.017 3.486 4.004 1
14.38 14.21 5.386 3.312 2.462 0
16.77 15.62 5.927 3.438 4.92 1
14.69 14.49 5.563 3.259 3.586 0
17.32 15.91 6.064 3.403 3.824 1
14.11 14.1 5.42 3.302 2.7 0
20.71 17.23 6.579 3.814 4.451 1
16.63 15.46 6.053 3.465 2.04 0
18.94 16.49 6.445 3.639 5.064 1
16.44 15.25 5.884 3.505 1.969 0
17.12 15.55 5.85 3.566 2.858 1
15.26 14.85 5.714 3.242 4.543 0
16.53 15.34 5.875 3.467 5.532 1
14.03 14.16 5.438 3.201 1.717 0
18.72 16.19 6.006 3.857 5.324 1
13.89 14.02 5.439 3.199 3.986 0
20.2 16.89 6.285 3.864 5.173 1
13.78 14.06 5.479 3.156 3.136 0
19.57 16.74 6.384 3.772 1.472 1
13.74 14.05 5.482 3.114 2.932 0
19.51 16.71 6.366 3.801 2.962 1
14.59 14.28 5.351 3.333 4.185 0
18.27 16.09 6.173 3.651 2.443 1
13.99 13.83 5.119 3.383 5.234 0
18.88 16.26 6.084 3.764 1.649 1
15.69 14.75 5.527 3.514 1.599 0
18.98 16.66 6.549 3.67 3.691 1
14.7 14.21 5.205 3.466 1.767 0
21.18 17.21 6.573 4.033 5.78 1
12.72 13.57 5.226 3.049 4.102 0
20.88 17.05 6.45 4.032 5.016 1
14.16 14.4 5.658 3.129 3.072 0
20.1 16.99 6.581 3.785 1.955 1
14.11 14.26 5.52 3.168 2.688 0
18.76 16.2 6.172 3.796 3.12 1
15.88 14.9 5.618 3.507 0.7651 0
18.81 16.29 6.272 3.693 3.237 1
12.08 13.23 5.099 2.936 1.415 0
18.59 16.05 6.037 3.86 6.001 1
15.01 14.76 5.789 3.245 1.791 0
18.36 16.52 6.666 3.485 4.933 1
16.19 15.16 5.833 3.421 0.903 0
16.87 15.65 6.139 3.463 3.696 1
13.02 13.76 5.395 3.026 3.373 0
19.31 16.59 6.341 3.81 3.477 1
12.74 13.67 5.395 2.956 2.504 0
18.98 16.57 6.449 3.552 2.144 1
14.11 14.18 5.541 3.221 2.754 0
18.17 16.26 6.271 3.512 2.853 1
13.45 14.02 5.516 3.065 3.531 0
18.72 16.34 6.219 3.684 2.188 1
13.16 13.82 5.454 2.975 0.8551 0
16.41 15.25 5.718 3.525 4.217 1
15.49 14.94 5.757 3.371 3.412 0
17.99 15.86 5.89 3.694 2.068 1
14.09 14.41 5.717 3.186 3.92 0
19.46 16.5 6.113 3.892 4.308 1
13.94 14.17 5.585 3.15 2.124 0
19.18 16.63 6.369 3.681 3.357 1
15.05 14.68 5.712 3.328 2.129 0
18.95 16.42 6.248 3.755 3.368 1
16.12 15 5.709 3.485 2.27 0
18.83 16.29 6.037 3.786 2.553 1
16.2 15.27 5.826 3.464 2.823 0
18.85 16.17 6.152 3.806 2.843 1
17.08 15.38 5.832 3.683 2.956 0
17.63 15.86 6.033 3.573 3.747 1
14.8 14.52 5.656 3.288 3.112 0
19.94 16.92 6.675 3.763 3.252 1
14.28 14.17 5.397 3.298 6.685 0
18.55 16.22 6.153 3.674 1.738 1
13.54 13.85 5.348 3.156 2.587 0
18.45 16.12 6.107 3.769 2.235 1
13.5 13.85 5.351 3.158 2.249 0
19.38 16.72 6.303 3.791 3.678 1
13.16 13.55 5.138 3.201 2.461 0
19.13 16.31 6.183 3.902 2.109 1
15.5 14.86 5.877 3.396 4.711 0
19.14 16.61 6.259 3.737 6.682 1
15.11 14.54 5.579 3.462 3.128 0
20.97 17.25 6.563 3.991 4.677 1
13.8 14.04 5.376 3.155 1.56 0
19.06 16.45 6.416 3.719 2.248 1
15.36 14.76 5.701 3.393 1.367 0
18.96 16.2 6.051 3.897 4.334 1
14.99 14.56 5.57 3.377 2.958 0
19.15 16.45 6.245 3.815 3.084 1
14.79 14.52 5.545 3.291 2.704 0
18.89 16.23 6.227 3.769 3.639 1
14.86 14.67 5.678 3.258 2.129 0
20.03 16.9 6.493 3.857 3.063 1
14.43 14.4 5.585 3.272 3.975 0
20.24 16.91 6.315 3.962 5.901 1
15.78 14.91 5.674 3.434 5.593 0
18.14 16.12 6.059 3.563 3.619 1
14.49 14.61 5.715 3.113 4.116 0
16.17 15.38 5.762 3.387 4.286 1
14.33 14.28 5.504 3.199 3.328 0
18.43 15.97 5.98 3.771 2.984 1
14.52 14.6 5.741 3.113 1.481 0
15.99 14.89 5.363 3.582 3.336 1
15.03 14.77 5.702 3.212 1.933 0
18.75 16.18 6.111 3.869 4.188 1
14.46 14.35 5.388 3.377 2.802 0
18.65 16.41 6.285 3.594 4.391 1
14.92 14.43 5.384 3.412 1.142 0
17.98 15.85 5.979 3.687 2.257 1
15.38 14.77 5.662 3.419 1.999 0
20.16 17.03 6.513 3.773 1.91 1
12.11 13.47 5.159 3.032 1.502 0
17.55 15.66 5.791 3.69 5.366 1
11.42 12.86 5.008 2.85 2.7 0
18.3 15.89 5.979 3.755 2.837 1
11.23 12.63 4.902 2.879 2.269 0
18.94 16.32 6.144 3.825 2.908 1
